Word,# of Occurences ,Translation,Part,Notes
Je,5090,I,Pronoun,
Tu,3351,You,Pronoun,
Oui,2846,Yes,Affirmative,
Ok,2349,Ok,Ok,
Ah,2170,Ah,Ah,
Non,1880,No,Negative,
<,1662,Name,Name,
C'est,1596,This is,"""This is""",
Et,1551,And,And,
Mais,1426,But,But,
Coucou,1400,Hello,Greeting,
Mdr,1324,Lol,Lol,"""Laughing to death"""
On,1319,We,Pronoun,
J'ai,1176,I have,"""I have""",
Ouais,1006,Yeah,Affirmative,
Ben,989,Well (informal),Interjection,
Lol,969,Lol,Lol,
Bah,962,"""Yea duh""",Interjection,
Bon,933,Good,Affirmative,
̤a,778,It/That,Pronoun,
Il,775,He,Pronoun,
Alors,736,So,Interjection,
Moi,735,Me,Pronoun,
:,709,Beginning of Emoticon,Emoticon,
A,691,At or To,Detirminer,
Si,679,If,Detirminer,
Merci,647,Thank You,Thank You,
Nan,641,Nope,Negative,
Ca,618,That,Pronoun,
Oh,605,Oh,Oh,