Sentence ,,,,,,Translation of third word,,Part,Add. Tag,Notes
Je suis desolee... J'avais pas vu l'heure et pas de portable sur moi...,,,,,,sorry,,noun,,(n) State of being sorry
Je suis vraiment desolée,,,,,,really (sorry),,adjective,noun,(n) State of being sorry
Je suis le vrai et l'unnique par contre dit moi qui tu aime !,,,,,,the truth,,noun,,
Je suis pas sure des dates. ,,,,,,not (sure),,neg ,adjective,
Je suis en stage au festival de la guitare maintenant jusqu'au 15 octobre ;-) ils m'ont embauché Haha,,,,,,on (stage),,preposition,noun,
Je suis parti avec ton briquet. ,,,,,,left,,verb,,
Je suis dans la salle voisine!,,,,,,in,,prepositon,,
JE SUIS A AIX CETTE NUIT SI T'ES DE SORTE,,,,,,at,,preposition,,
Je suis tomber de la chaise,,,,,,to fall ,,verb,,
Je suis pas la je suis chez ma grand mere dsl,,,,,,not (noun),,neg,noun,
Je suis enfin arrivée à Montpellier !,,,,,,finally,,adverb,,
je suis vrmt une meuf qui a la poisse.,,,,,,really (a),,adjective,,
Je suis resté avec <PRE_6> Comme ce matin ,,,,,,resting,,verb,,
Je suis une merde !!!!!!!!,,,,,,a,,determiner,,
Je suis en train de rager tout seul devant ma play. Toi ça va?,,,,,,in ,,preposition,,
"Je suis fatigue, je vais dormir et rever de toi :) gros bisous",,,,,,tired,,noun,,(n) State of being tired
Je suis redevenue accro à cityville,,,,,,again,,adverb,,not a direct translation